index,lon,lat,age,plate_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
90,-135.84,64.03,77,101,-108.31,73.2,0.07,154.0,-120.34,71.65,13.71,-34.61,3.08,-173.66,0.17,70.15,918.0,101.0,0.09,58.12,11.28,-7.79,-3.06,-0.34,-11.58,-44.82,8.21,-8.16,49.13,0.15,19.3,360.51,2.32
91,-136.23,63.78,77,101,-109.05,72.99,0.06,154.0,-120.34,71.65,13.71,-34.61,3.08,-173.66,0.17,70.15,918.0,101.0,0.09,58.12,11.28,-7.79,-3.06,-0.34,-11.58,-44.82,8.21,-8.16,49.13,0.15,19.3,360.51,2.32
92,-137.27,63.78,77,101,-110.6,73.08,0.06,154.0,-120.34,71.65,13.71,-34.61,3.08,-173.66,0.17,70.15,918.0,101.0,0.09,58.12,11.28,-7.79,-3.06,-0.34,-11.58,-44.82,8.21,-8.16,49.13,0.15,19.3,360.51,2.32
93,-138.08,64.34,77,101,-111.46,73.69,0.06,154.0,-120.34,71.65,13.71,-34.61,3.08,-173.66,0.17,70.15,918.0,101.0,0.09,58.12,11.28,-7.79,-3.06,-0.34,-11.58,-44.82,8.21,-8.16,49.13,0.15,19.3,360.51,2.32
94,-138.92,63.87,175,101,-58.6,58.27,0.07,301.0,-66.07,57.17,10.1,7.56,1.89,-118.94,0.19,72.29,902.0,16111.0,11.26,16.2,10.01,1.33,-0.91,-1.65,-9.1,-2.05,9.1,-0.33,83.96,0.19,4.28,6584.01,2.8
95,-141.21,62.11,111,101,-83.51,67.0,0.02,303.0,-85.84,67.17,14.42,3.42,4.38,-148.97,0.17,94.84,902.0,101.0,0.26,57.95,14.39,0.86,-3.75,-2.26,-10.72,-7.7,10.63,-1.44,55.04,0.21,31.65,144.69,2.1
96,-142.84,62.21,105,101,-89.89,68.22,0.01,302.0,-90.65,68.07,7.76,-52.31,3.48,-165.66,0.17,93.24,902.0,101.0,0.09,58.12,4.75,-6.14,-3.37,-0.86,-7.12,-79.12,1.34,-6.99,51.08,0.07,35.41,668.87,2.47
97,-145.21,61.82,66,101,-132.34,70.58,0.0,184.0,-132.02,70.38,11.74,33.13,3.44,-116.91,0.2,333.12,918.0,182.0,0.89,0.89,9.83,6.42,-1.56,-3.07,-8.92,21.91,8.28,3.33,47.47,0.16,16.55,485.38,2.16
98,-147.36,65.0,105,101,-90.61,71.65,0.06,284.0,-91.44,68.18,7.7,36.38,-3.47,-76.66,0.2,4.0,902.0,182.0,0.3,0.3,6.2,4.57,0.8,-3.38,-7.08,9.35,6.98,1.15,51.08,0.1,35.41,668.87,2.47
99,-157.05,64.13,75,101,-143.02,73.88,0.07,124.0,-138.59,70.17,12.4,39.61,3.02,-98.69,0.2,341.72,918.0,182.0,5.6,5.6,9.55,7.9,-0.46,-2.99,-10.34,28.26,9.11,4.9,40.27,0.14,19.44,452.84,2.06
100,-158.4,56.52,4,101,-158.37,57.13,0.03,239.0,-156.47,55.59,5.56,2.02,1.76,-139.27,0.15,324.2,901.0,111.0,8.6,8.6,5.56,0.2,-1.33,-1.15,-4.34,-12.85,4.23,-0.97,44.84,0.06,118.15,1143.36,2.19
101,-160.67,55.62,7,101,-160.64,56.67,0.03,235.0,-158.88,55.06,5.67,-4.34,1.73,-144.75,0.15,328.88,901.0,111.0,10.33,10.33,5.66,-0.43,-1.42,-1.0,-4.48,-18.78,4.25,-1.44,39.31,0.06,104.89,1060.84,2.12
102,-163.7,64.89,109,101,-107.54,74.9,0.08,196.0,-115.74,71.0,5.7,-7.06,3.55,-111.85,0.19,29.06,902.0,182.0,10.79,10.79,5.66,-0.7,-1.32,-3.29,-5.87,-42.98,4.3,-4.0,13.5,0.05,34.64,479.71,1.86
103,-164.25,65.33,109,101,-107.45,75.4,0.09,192.0,-116.78,71.18,5.61,-7.17,3.54,-111.32,0.19,28.09,902.0,182.0,10.64,11.17,5.57,-0.7,-1.29,-3.29,-5.83,-43.35,4.24,-4.0,13.24,0.04,34.64,479.71,1.85
