subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
-6.18,-140.32,-52.52,5.45,3.96,-3.92,33.43,159.67,0
-14.58,-157.09,-37.51,7.04,3.17,-4.92,75.2,170.64,0
-35.97,144.58,-36.87,4.35,2.43,-1.93,13.31,1042.36,0
-43.04,135.1,134.79,0.87,5.63,4.76,79.55,166.99,0
-82.08,-75.62,-77.85,1.5,-2.99,-4.49,97.79,172.34,0
38.3,172.77,107.33,8.84,9.07,6.92,53.4,241.17,0
-43.04,-179.89,-163.92,0.87,2.72,2.18,95.4,159.12,0
-35.67,-179.18,-54.67,6.85,2.72,-4.93,100.7,174.82,0
-27.51,125.56,-2.41,4.36,2.35,-2.5,1.71,1566.09,0
-17.97,162.1,-18.26,4.41,2.39,-2.03,10.47,985.76,0
43.12,177.36,111.5,8.86,9.03,6.94,52.27,233.02,0
-29.49,-139.31,-50.67,4.88,1.75,-4.57,14.7,408.69,0
-27.12,-139.84,-47.57,5.08,1.77,-4.67,20.47,438.16,0
-67.12,-144.66,-76.63,9.5,1.68,-10.0,2.45,269.8,0
41.31,-110.07,12.82,8.36,4.78,-4.73,31.8,169.09,0
-6.88,-122.28,-42.24,8.35,4.89,-7.63,66.66,148.13,0
-20.72,177.3,-23.76,10.58,1.52,-9.15,95.31,164.42,0
48.97,-176.77,118.57,8.79,9.12,6.96,54.26,241.17,0
-43.81,-144.51,-65.48,4.46,1.67,-4.45,4.24,356.6,0
5.68,-102.95,-20.99,8.3,3.73,-7.93,94.66,162.92,0
18.2,-110.18,8.71,10.35,1.95,-9.27,48.88,162.77,0
-0.26,-124.93,-23.95,11.86,4.85,-9.91,62.35,999.5,0
-6.82,-122.38,-41.91,8.42,4.9,-7.68,66.66,148.13,0
24.52,-75.49,1.79,7.87,-3.09,-7.94,97.74,167.56,0
-49.01,-160.19,-86.85,7.54,4.81,-7.31,59.75,148.49,0
7.82,-148.51,-3.04,15.32,5.03,-10.91,77.0,144.82,0
-8.87,-97.27,-32.15,7.19,3.1,-7.91,93.99,163.3,0
-66.02,-175.32,-76.07,18.6,3.26,-17.78,61.17,467.52,0
23.2,-114.88,-16.48,6.55,4.24,-4.43,33.32,166.43,0
23.17,-117.21,-12.95,7.23,4.41,-4.76,52.99,164.04,0
23.24,-117.01,-12.97,7.21,4.4,-4.76,50.72,164.06,0
-33.86,-173.95,-44.22,13.27,3.06,-11.11,49.82,438.27,0
-29.9,109.19,-3.58,11.02,5.32,-7.83,89.4,6095.17,0
-26.57,109.64,-2.73,12.16,5.34,-9.1,89.45,7467.7,0
14.94,-147.17,12.58,10.08,1.15,-8.99,95.01,157.84,0
0.52,-123.08,-31.93,3.71,1.99,-3.1,29.74,984.76,0
43.32,-54.34,15.33,7.4,-3.67,-7.81,93.62,5679.55,0
38.81,-102.33,4.37,7.52,4.45,-4.93,75.57,162.69,0
0.22,-121.69,-29.68,3.91,1.95,-3.33,34.16,1009.9,0
-65.6,-56.47,-61.4,2.42,-2.12,-4.53,94.38,159.56,0
58.77,-89.19,44.9,14.36,-4.74,-10.63,47.81,640.44,0
8.41,-126.72,2.57,23.39,3.01,-21.38,37.4,985.24,0
-7.7,-166.61,-37.95,11.31,7.37,-5.16,182.94,147.23,0
2.14,-88.24,-69.87,1.52,-4.55,-4.78,87.9,160.13,0
42.69,-76.2,14.19,9.77,-4.65,-8.53,36.34,983.62,0
-50.12,95.94,-30.66,11.21,4.68,-7.78,89.09,341.42,0
-14.18,144.04,-3.63,10.28,3.49,-7.17,32.3,230.52,0
