subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
26.25,-106.04,-12.26,7.84,4.89,-5.78,67.32,149.13,0
26.19,-105.76,-12.18,7.87,4.89,-5.84,66.72,149.14,0
26.14,-105.46,-12.11,7.9,4.9,-5.89,67.36,147.79,0
26.09,-105.17,-12.03,7.93,4.9,-5.95,68.83,147.78,0
11.36,-104.88,-23.2,8.57,4.91,-7.75,68.23,148.23,0
11.3,-104.58,-23.24,8.58,4.91,-7.78,68.44,148.13,0
11.25,-104.28,-23.27,8.58,4.92,-7.82,67.61,147.69,0
11.19,-103.98,-23.3,8.59,4.92,-7.85,68.54,149.07,0
11.13,-103.68,-23.33,8.59,4.92,-7.89,68.74,149.14,0
2.68,-127.45,-23.36,10.07,4.53,-7.92,67.88,158.0,0
2.88,-127.41,-23.2,10.13,4.57,-7.95,68.05,157.87,0
3.08,-127.37,-23.04,10.18,4.6,-7.98,67.16,158.23,0
3.27,-127.33,-22.89,10.24,4.64,-8.01,67.29,158.6,0
3.46,-127.27,-22.74,10.29,4.67,-8.04,68.33,158.47,0
47.09,-112.42,37.3,15.62,5.19,-10.91,68.47,158.84,0
47.11,-112.41,37.26,15.64,5.22,-10.9,70.25,158.82,0
47.12,-112.39,37.23,15.66,5.24,-10.9,71.0,159.3,0
47.14,-112.37,37.2,15.67,5.27,-10.9,73.55,159.54,0
47.16,-112.34,37.16,15.69,5.29,-10.9,75.42,159.71,0
47.17,-112.31,37.13,15.71,5.31,-10.89,77.01,160.05,0
47.19,-112.27,37.09,15.72,5.34,-10.89,80.83,159.99,0
47.21,-112.23,37.05,15.74,5.36,-10.89,82.79,160.34,0
47.23,-112.19,37.01,15.75,5.38,-10.88,90.19,160.28,0
47.25,-112.14,36.98,15.77,5.41,-10.88,93.2,160.62,0
49.35,-101.62,36.4,17.32,5.78,-12.59,93.95,159.94,0
42.74,-114.03,35.58,19.42,4.77,-15.16,96.41,160.27,0
42.48,-113.83,35.19,19.39,4.77,-15.15,96.86,160.7,0
30.7,-113.62,20.09,18.73,4.76,-15.12,94.02,161.14,0
30.46,-113.41,19.75,18.7,4.76,-15.12,89.64,160.41,0
28.59,-115.84,18.83,17.71,4.22,-14.48,83.95,160.46,0
23.72,-125.3,16.88,15.51,3.03,-13.02,77.61,164.33,0
23.35,-125.14,16.43,15.49,3.02,-13.02,74.34,164.93,0
22.99,-124.98,15.98,15.47,3.01,-13.02,71.05,161.03,0
22.62,-124.82,15.53,15.45,3.0,-13.02,68.85,160.49,0
10.93,-140.53,3.79,14.3,3.08,-11.69,107.92,162.99,0
1.24,-137.79,-10.69,13.62,3.54,-11.2,107.25,168.0,0
0.92,-137.49,-11.11,13.59,3.53,-11.2,103.81,168.67,0
0.59,-137.19,-11.54,13.55,3.51,-11.21,98.8,169.08,0
0.25,-136.89,-11.97,13.51,3.5,-11.21,96.35,169.86,0
1.61,-136.59,-22.45,7.78,3.49,-5.68,89.59,168.69,0
1.62,-136.28,-22.5,7.75,3.47,-5.67,90.47,169.07,0
1.08,-137.15,-22.99,7.66,3.44,-5.59,83.91,169.86,0
-4.36,-148.0,-27.69,7.12,3.28,-4.88,82.26,170.64,0
