Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
1.64,-2.06,0.78,4.34,0.73,0.01,5156.74,0.72,0
3.34,-2.07,0.77,4.35,0.72,0.02,5014.21,0.95,0
3.1,-2.07,0.77,4.36,0.7,0.02,1280.09,0.96,0
2.88,-2.08,0.76,4.38,0.69,0.02,583.4,0.96,0
2.58,-2.08,0.76,1.19,-4.02,0.0,1476.4,0.96,0
2.24,-2.09,0.76,1.19,-3.98,0.0,1468.88,0.95,0
1.87,-2.09,0.75,4.41,0.65,0.01,946.56,0.92,0
4.16,-2.1,0.75,4.42,0.64,0.01,1746.06,1.17,0
4.26,-2.1,0.62,4.43,0.49,0.02,1050.74,1.2,0
4.77,-2.28,0.42,4.38,-0.74,0.02,955.86,1.25,0
4.34,-2.29,0.42,4.39,-0.75,0.02,1042.36,1.23,0
3.89,-2.29,0.41,4.39,-0.76,0.02,985.76,1.21,0
3.44,-2.3,0.41,4.4,-0.78,0.02,975.77,1.2,0
6.11,-2.31,0.41,4.41,-0.79,0.02,960.73,1.34,0
5.59,-2.31,0.4,4.41,-0.8,0.02,942.67,1.32,0
5.16,-2.32,0.4,4.42,-0.81,0.01,1096.44,1.33,0
5.78,-2.32,0.39,0.06,-3.54,0.0,1068.36,1.34,0
11.44,-2.02,1.31,3.68,-2.5,0.02,1050.19,1.53,0
13.39,-2.03,0.59,5.2,-3.02,0.04,1193.55,1.63,0
13.31,-2.04,0.5,5.27,-3.07,0.04,1175.02,1.65,0
14.06,-2.04,0.5,5.17,-3.07,0.04,1159.05,1.7,0
13.95,-2.05,0.5,5.08,-3.06,0.04,1095.43,1.71,0
15.64,-2.05,0.49,4.98,-3.05,0.04,1045.06,1.78,0
15.74,-2.07,0.49,5.74,-2.71,0.04,964.95,1.8,0
18.65,-2.07,0.49,6.83,-2.32,0.06,924.2,1.9,0
20.37,-2.1,0.38,8.85,-2.42,0.08,814.73,1.97,0
17.75,-1.78,-1.07,7.84,3.8,0.07,578.34,1.92,0
17.75,-1.79,-1.08,7.83,3.7,0.07,549.88,1.93,0
17.69,-1.61,-1.6,6.31,1.28,0.06,525.3,1.93,0
18.13,-1.59,-1.67,6.1,0.96,0.06,505.38,1.93,0
16.96,-1.6,-1.67,6.05,0.91,0.05,485.94,1.91,0
16.12,-1.6,-1.68,5.99,0.85,0.05,458.13,1.89,0
15.24,-1.6,-1.69,5.94,0.79,0.05,444.58,1.88,0
15.29,-1.6,-1.69,5.89,0.74,0.05,427.9,1.87,0
14.33,-1.61,-1.7,5.84,0.68,0.05,389.96,1.85,0
13.9,-0.99,-1.4,4.5,-1.24,0.04,376.46,1.83,0
12.29,-1.04,-1.35,4.25,-1.54,0.03,438.16,1.8,0
10.52,-1.04,-1.35,4.18,-1.57,0.03,419.59,1.77,0
9.97,-1.04,-1.36,4.18,-1.64,0.03,408.69,1.75,0
