Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
52.99,-2.02,-3.92,6.65,2.85,0.11,164.04,2.43,0
50.72,-2.0,-3.92,6.63,2.85,0.11,164.06,2.43,0
49.82,-3.05,-0.32,11.02,-7.39,0.15,438.27,2.32,0
89.4,-1.75,5.02,9.55,-5.49,0.19,6095.17,2.8,0
89.45,-1.79,5.03,10.88,-5.44,0.21,7467.7,2.83,0
95.01,-0.97,-0.62,9.74,2.6,0.19,157.84,2.71,0
29.74,-1.08,-1.66,3.71,0.03,0.04,984.76,1.99,0
93.62,2.14,-2.98,5.39,5.08,0.11,5679.55,2.78,0
75.57,-0.95,-4.35,5.86,4.71,0.11,162.69,0.95,0
34.16,-1.02,-1.66,3.91,0.01,0.05,1009.9,2.07,0
94.38,1.17,-1.77,1.0,-2.21,0.02,159.56,2.7,0
47.81,0.07,-4.74,7.44,12.28,0.11,640.44,2.07,0
37.4,-1.8,-2.42,23.14,3.42,0.31,985.24,2.02,0
182.94,-7.17,-1.71,11.21,-1.52,0.25,147.23,1.09,0
87.9,0.14,-4.55,1.51,0.06,0.03,160.13,2.68,0
36.34,1.11,-4.52,7.18,6.63,0.1,983.62,2.26,0
89.09,-0.48,4.66,7.19,-8.6,0.15,341.42,2.81,0
32.3,-2.82,2.05,9.96,-2.52,0.12,230.52,2.13,0
50.32,2.51,-3.99,4.39,5.13,0.07,767.75,2.48,0
85.69,-3.32,-3.71,10.48,-2.48,0.2,109.73,2.45,0
94.82,-2.0,-0.32,4.94,-3.69,0.1,173.83,2.7,0
80.78,-0.84,-1.74,9.24,2.0,0.18,168.28,2.78,0
83.74,-1.28,-2.12,12.62,4.41,0.24,68.91,2.67,0
87.99,-0.84,-5.01,8.44,4.62,0.16,247.58,2.68,0
86.4,-3.32,-0.87,10.88,0.73,0.21,263.39,2.68,0
88.96,-0.72,-5.02,8.38,4.56,0.16,221.2,2.68,0
79.54,-2.61,-4.26,9.25,2.2,0.17,114.23,2.4,0
67.68,-2.1,-2.13,14.95,3.66,0.26,164.33,2.42,0
8.69,-2.1,0.89,4.42,0.42,0.03,583.4,1.35,0
29.07,-2.45,0.41,5.7,-5.21,0.07,487.61,1.95,0
