Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
68.54,44.48,-1.19,8.43,1.67,35.28,149.07,2.11,0
68.74,44.48,-1.16,8.43,1.66,35.27,149.14,2.13,0
67.88,44.48,-2.76,10.06,0.47,27.13,158.0,2.13,0
68.05,44.48,-2.78,10.11,0.51,26.66,157.87,2.16,0
67.16,44.48,-2.79,10.17,0.55,26.28,158.23,2.17,0
67.29,44.48,-2.81,10.22,0.58,25.98,158.6,2.22,0
68.33,44.48,-2.83,10.27,0.62,25.37,158.47,2.34,0
68.47,44.48,-1.98,10.63,11.44,25.25,158.84,2.4,0
70.25,44.48,-1.99,10.64,11.46,24.56,158.82,2.43,0
71.0,44.48,-2.0,10.65,11.47,24.11,159.3,2.38,0
73.55,44.48,-2.0,10.66,11.49,23.43,159.54,2.33,0
75.42,44.48,-2.01,10.67,11.5,23.27,159.71,2.4,0
77.01,44.48,-2.02,10.68,11.52,22.66,160.05,2.45,0
80.83,44.48,-2.02,10.69,11.54,22.22,159.99,2.48,0
82.79,44.48,-2.03,10.69,11.55,21.88,160.34,2.51,0
90.19,44.48,-2.03,10.7,11.56,21.44,160.28,2.69,0
93.2,44.48,-2.04,10.7,11.58,21.19,160.62,2.7,0
93.95,44.48,-1.16,11.28,13.14,20.67,159.94,2.7,0
96.41,44.3,-1.94,14.26,13.18,20.07,160.27,2.71,0
96.86,43.96,-1.93,14.3,13.1,19.56,160.7,2.71,0
94.02,43.62,-1.91,16.1,9.56,19.2,161.14,2.7,0
89.64,43.2,-1.89,16.12,9.48,18.9,160.41,2.69,0
83.95,42.78,-1.84,15.55,8.47,18.69,160.46,2.66,0
77.61,42.63,-1.75,14.2,6.24,17.29,164.33,2.58,0
74.34,42.61,-1.74,14.22,6.14,16.11,164.93,2.51,0
71.05,42.59,-1.73,14.25,6.04,15.99,161.03,2.45,0
68.85,42.57,-1.72,14.27,5.94,15.56,160.49,2.43,0
107.92,42.54,-2.38,14.04,2.71,14.6,162.99,2.75,0
107.25,42.41,-2.62,13.62,0.3,11.95,168.0,2.74,0
103.81,42.17,-2.6,13.58,0.22,11.44,168.67,2.73,0
98.8,41.94,-2.58,13.55,0.14,10.95,169.08,2.72,0
96.35,41.7,-2.56,13.51,0.06,11.02,169.86,2.71,0
89.59,41.47,-2.53,7.78,0.22,11.48,168.69,2.69,0
90.47,41.08,-2.51,7.75,0.22,11.88,169.07,2.69,0
83.91,40.84,-2.52,7.66,0.14,11.5,169.86,2.67,0
82.26,40.6,-2.78,7.1,-0.54,9.43,170.64,2.66,0
80.08,40.42,-2.76,7.07,-0.54,8.8,170.73,2.65,0
79.25,4.64,1.11,1.69,0.43,7.5,169.33,2.65,0
77.72,4.1,1.12,1.7,0.44,7.56,168.52,2.64,0
73.8,4.1,1.13,1.71,0.46,7.25,167.36,2.63,0
71.99,4.1,1.14,1.72,0.48,7.6,167.06,2.62,0
70.22,6.73,1.6,1.28,-0.94,7.38,166.38,2.61,0
64.44,6.73,1.15,1.75,-2.19,7.25,165.34,2.58,0
62.66,6.54,0.65,1.78,-1.56,7.55,165.09,2.57,0
60.53,6.36,-0.1,1.8,-0.63,6.53,166.47,2.56,0
98.46,6.17,-0.09,1.81,-0.61,6.33,166.29,2.72,0
